Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","150","Netherlands","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","38992631","Fc","Calculated data"
"TI","Trade Indices","153","New Caledonia","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","244436","Fc","Calculated data"
"TI","Trade Indices","153","New Caledonia","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2780","Fc","Calculated data"
"TI","Trade Indices","153","New Caledonia","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","190373","Fc","Calculated data"
"TI","Trade Indices","153","New Caledonia","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","2090","Fc","Calculated data"
"TI","Trade Indices","156","New Zealand","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1122772","Fc","Calculated data"
"TI","Trade Indices","156","New Zealand","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","14585763","Fc","Calculated data"
"TI","Trade Indices","156","New Zealand","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","1506764","Fc","Calculated data"
"TI","Trade Indices","156","New Zealand","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","12878832","Fc","Calculated data"
"TI","Trade Indices","157","Nicaragua","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","493593","Fc","Calculated data"
"TI","Trade Indices","157","Nicaragua","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1029042","Fc","Calculated data"
"TI","Trade Indices","157","Nicaragua","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","400252","Fc","Calculated data"
"TI","Trade Indices","157","Nicaragua","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","616011","Fc","Calculated data"
